"환경부, 상수도 지능형 관망관리 인프라 구축 박차","(43개)에 인공지능(AI) 정수장을 도입하고, 모든 광역상수도(48개 수도시설)와 지방상수도(161개 지자체)에... 전환하겠다""면서 ""과학과 데이터에 기반한 물관리를 통해 물 위기로부터 국민의 생명과 안전을 최우선으로..."
2023 소비자 선정 최고의 브랜드 대상,올해로 12회째를 맞은 이 행사는 중앙일보·포브스코리아가 주최·주관하고 과학기술정보통신부... ‘인공지능(AI) 수요예측시스템’ 등 다양한 정보기술(IT) 솔루션을 개발하고 있다. 스마트카라는 14년 동안 건조분쇄...
최영찬이 만난 부울경 혁신 리더(10) 이용훈 울산과학기술원 총장,"사실 울산은 기계, 중화학 중심 도시다. 인공지능이나 반도체 강화에 대한 지역사회 반응은 어떤지... 2023년 예산 규모는 총 30조원이 넘는다. 대한민국이 세계 과학기술 5대 강국으로 도약하려면 세계적 연구중심대학을..."
2023년 상하이 경제전망,"3%, 도시 실업률 5% 이내, 물가상승률 3%, 상하이 GDP 중 친환경 분야 투자 비중 3% 등이다. 2023년 1월 9일 상하이 사회과학원 경제연구소에서 발표한 '2023년 상하이 거시경제 상황 분석 및 예측' 보고에서는..."
[2023 과천시 새해설계] 시민 만족 행복도시 조성,"2023년이 되도록 하겠습니다."" 신계용 과천시장은 올해 신년사에서 신나게 일하고 발전하는 스마트 자족도시... 학교는 첨단 과학기술 활용이 가능한 공간으로 탈바꿈해 인공지능(AI), 코딩 등 디지털 교육을 통한 창의..."
"CES 2023 혁신상 기업, 광주에 인공지능 연구소 설립","됐다""며 ""인공지능 데이터센터와 광주과학기술원(GIST)의 우수한 인재, 유수의 병원 등 광주의 인적·물적... 인공지능 중심도시, 명실상부한 대한민국 실리콘밸리로 나아가는데 징검다리가 돼 준 ㈜솔에 아낌없는..."
CES 2023 달군 고려대 ‘호랑이 스타트업’ 큐심플러스·아이노클·블루랩스,"인공지능과 빅데이터, 디지털 헬스케어는 CES의 인기 주제다. 이번 행사에 참가한 의·과학 기업과 관계자... 이를 재활용하면 굴 껍데기가 일으키는 환경 오염을 줄이고 도시의 미관을 좋게 다듬으면서 수질정화라는..."
"광주시,인공지능 기업 러브콜","CES 2023' 광주 공동브랜드 홍보관 뇌신경세포 연결망 연구 세계 권위자인 이진형 스탠퍼드대학 신경과학과... 강기정 광주시장은 ""세계적인 기업과 전문가가 인공지능 중심도시 광주를 주목하고 있고 디지털트윈으로 새..."
"[AI 광주&CES 2023 인터뷰 ①] 곽재도 AICA 본부장, ""첫 참가한 CES서 성과 커...","인공지능(AI) 중심도시를 조성 중인 광주광역시가 지난 1월 5일(목)부터 8일(일, 현지 시각)까지 미국 라스베이거스에서 열린 세계 최대 가전·IT 전시회인 'CES 2023'에 처음으로 참가했다. 광주 공동브랜드(지엘·GIEL)..."
‘2023 대한민국 브랜드 명예의전당’ 부문별 수상자는? ②,"코코아팹이 ‘2023 대한민국 브랜드 명예의전당’ 청소년 코딩교육 부문에서 수상했다. ‘코코아팹’은 소프트웨어(SW)코딩, 인공지능(AI) 등 미래기술 기반의 디지털 교육은 물론 국내 유수의 기관·기업과 함께 교육..."
CES 2023이 주목한 ‘K-스타트업’,"K-스타트업 2021 최우수상 수상 △삼성전자 C-Lab Outside 선정, 과학기술정보통신부 K-글로벌 스타트업 공모전... ‘CES 2023혁신상’을 수상했다. 에어딥-홈은 인공지능(AI)실내공기질 측정기로 실내 공기질을 실시간 탐지..."
"[AI 광주&CES 2023 인터뷰 ①] 곽재도 AICA 본부장, ""첫 참가한 CES서 성과 커...","인공지능(AI) 중심도시를 조성 중인 광주광역시가 지난 1월 5일(목)부터 8일(일, 현지 시각)까지 미국 라스베이거스에서 열린 세계 최대 가전·IT 전시회인 'CES 2023'에 처음으로 참가했다. 광주 공동브랜드(지엘·GIEL)..."
‘2023 대한민국 브랜드 명예의전당’ 부문별 수상자는? ②,"코코아팹이 ‘2023 대한민국 브랜드 명예의전당’ 청소년 코딩교육 부문에서 수상했다. ‘코코아팹’은 소프트웨어(SW)코딩, 인공지능(AI) 등 미래기술 기반의 디지털 교육은 물론 국내 유수의 기관·기업과 함께 교육..."
2023년 서울시 이렇게 달라진다…안심소득 1600가구로 확대,"로봇·인공지능 분야 전시·체험·교육을 위한 새로운 방식의 과학관 관람 경험을 10월부터 선보이고, 웹툰... 수변감성도시의 기반을 마련한다. 대표적인 트레킹 코스인 서울둘레길이 개통 8년을 맞아 둘레길 주변의..."
"국토부, 도시계획 수립에 인공지능 활용 추진",국토부는 ‘빅데이터 기반의 인공지능 도시계획 R&D’를 추진 중으로 과학적 도시계획을 수립하는 실증 대상... 공모 일정으로는 도시·군기본계획을 수립 중이거나 수립할 예정인 지자체를 대상으로 28일부터 2023년 1월...
광주 인공지능 집적단지 '첫 삽'…5년간 4천여억원 투입,"AI 특화 데이터센터 등 3개동 건축…국가 AI 혁신거점 역할 과학기술정보통신부는 22일 광주 북구... 임혜숙 장관은 ""광주가 인공지능 중심도시를 향한 혁신적 도전을 통해 포스트 코로나 시대의 새로운 산업과 일자리를..."
"[종합] 광주시·전남도, 2023년 국비 확보 들여다보니",위한 ▲광주과학기술원 부설 인공지능영재고 광주 설립 기획용역 사업비(10억원) 등을 확보해 대한민국 인공지능 대표도시로 한 걸음 더 나아갈 수 있게 됐다. 또 ▲헬스케어 빅데이터 플랫폼 기반 인공지능(AI) 스타트업...
광주 인공지능 영재고 첫발…사관학교 제3기 인재 배출,인공지능(AI) 선도도시를 이끌 광주 AI영재고 설립이 첫발을 내딛었다. 광주시는 최근 국회에서 내년도 정부 예산에 ‘광주 과학기술원(GIST) 부설 인공지능 영재고 설립’ 기획 용역비 10억원이 반영됐다고 26일 밝혔다....
[사이버대 특집] '초연결 사회 교육혁신 주도' 사이버대 2023학년도 신·편입...,"시각미디어디자인전공) ▲미래인간과학스쿨(재난방재과학전공, 공공안전관리전공) ▲보건의료관리학과... 소방방재안전학과 ▲인공지능융합학과 ▲자연숲치유산업학과(신설)이다. 신·편입생 입학 자격은 국내외..."
"""정말 8편까지 갈까?"" 마동석 금천경찰서 유니버스 열리나, 2023년 스크린 기...",sf 인공지능 로봇 영화 어떨지 정말 굉장히 관심이 많이 모이고 있고요. 말씀하신 것처럼 강수현 배우가 이 작품에서 또 과학자로 출연을 해서 연상호 감독과의 긴 인연을 이 작품에서도 따뜻하게 보여줄 것 같습니다....
"[특별기획] 계명대학교, 2023학년도 정시모집 695명 모집","디지털 혁신 선도도시 대구를 이끌어갈 SW·AI 인력 양성을 목표로 캠프 형식으로 교육을 진행할 예정이다. 특히 대구광역시 전략산업분야(인공지능, 빅데이터, 블록체인, 메타버스)와 계명대 특화전공분야(게임..."
