1,"['SKT·KT·LGU+, 계묘년 맞은 통신3사의 올해 경영전략은...', '사진=유토이미지 계묘년을 맞아 다양한 기업들이 시무식이나 신년사를 통해 임직원을 격려하고 올해의... 사진=SK브로드밴드 SK텔레콤은 지난해부터 추진한 AI(인공지능) 컴퍼니로의 도약을 올해에도 이어 나가겠다는...']"
2,"['[계묘년 신년인터뷰] 최영해 ""TTA, 고도의 기술 전문성으로 디지털 대전환 시...', 'IT조선은 최영해 회장을 만나 TTA의 방대한 역할과 지난 성과, 계묘년 새해 추진할 주요 계획 등에 대해... 특히, 2018년부터 AI 데이터에 대한 품질검증 및 컨설팅 제공과‘신뢰할 수 있는 인공지능 개발 안내서’발간...']"
3,"['SKT 유영상 ""계묘년 AI 컴퍼니 도약의 해로 만들자""', '유영상 SK텔레콤 대표는 2일 ""2023년을 AI(인공지능) 컴퍼니로의 도약과 전환을 하는 비전 실행의 원년으로... 유 대표는 ""AI 컴퍼니 비전을 바탕으로 계묘년 올 한 해 검은 토끼처럼 크게 도약해 내년부터는 크게 수확할 수...']"
4,"['경북교육청, 계묘년 새해 다짐식 가져', '이날 행사는 인사이동에 따른 직원 소개, 교육감 신년사, 계묘년 맞이 새해 다짐 손글씨 쓰기 순으로... 첫째 △경북형 교육과정 개발 △인공지능(AI)·빅데이터 활용 학생 맞춤형 교육 등 삶과 연계한 학습으로 학생이...']"
5,"['김홍규 강릉시장, 2023년 계묘년 신년사', '깅홍규 강릉시장의 계묘년 신년사 존경하는 시민 여러분! 2023년 계묘년(癸卯年)... 데이터센터는 인공지능, 메타버스 등 디지털 경제의 핵심 인프라로 손꼽힙니다....']"
6,"['계묘년 과학기술 이슈…누리호 3차 발사·우주항공청 출범 예정', '계획대로라면 슈퍼컴퓨터 6호기는 기존 대비 20배 이상 높은 성능을 자랑하게 된다. 구조도 확 바뀐다. 기존 CPU 기반이던 것에서 탈피해, GPU를 동시 탑재하게 된다. GPU는 빅데이터 분석, 인공지능(AI) 훈련에 강점을 보인다.']"
7,"['위기극복·도전·인재...계묘년 제약CEO 신년사 키워드', '제약바이오업계가 계묘년 새해 경영 키워드로 위기극복과 도전, 인재를 제시했다. 국내 주요... 이 회장은 ""디지털 메디신(digital medicine)과 맞춤 의약품 등 신사업 영역을 개척하는 한편 인공지능(AI) 플랫폼을 통해 초기...']"
8,"['[신년사] 오영훈 제주지사 ""계묘년 대전환 도약 원년 될 것""', '존경하는 도민 여러분 2023년 계묘년 새해가 밝았습니다. 검은 토끼해인 새해에는 총명하고 민첩한 토끼의... 제주에 구축된 국가위성통합센터 등을 활용 위성영상 데이터와 인공지능 기술을 결합해 재난·환경·교통 문제...']"
9,"[""[2023 게임] 계묘년 새해 키워드 'RABBIT(토끼)'"", ""해' 계묘년(癸卯年) 새해가 밝았다. 게임 산업은 지난해 다사다난한 한 해를 보냈다. 그래서인지 2023년은... 이제는 가상인간, 인공지능 등 첨단 기술이 게임의 가능성을 더욱 넓히고 있다. 기술 패권 시대가 열린 만큼...""]"
10,"['[ZOOM]계묘년(癸卯年), 재빠르고 영민한 토끼처럼 뜁시다', '내연기관 자동차는 전기차로 바뀌고, 자율주행, 인공지능(AI), 가상현실 등 숨 가쁘게 기술이 발전했습니다. 2023년 계묘년(癸卯年) 토끼해가 밝았습니다. 기술 발전에 뒤처지지 않아야 하고, 계속되는 우크라이나...']"
